publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p751817,1,0,0,0,0,0,0,0,1,0
2019p751313,1,0,0,0,1,0,0,0,0,0
2019p750553,1,0,0,1,0,0,0,0,0,0
2019p750071,1,0,0,1,0,0,0,0,0,0
2019p749930,1,0,0,1,0,0,0,0,0,0
2019p749328,1,0,0,1,0,0,0,0,0,0
2019p749258,4,0,0,2,2,0,0,0,0,0
2019p749229,5,0,0,4,1,0,0,0,0,0
2019p748280,1,0,0,0,0,0,0,0,1,0
2019p747056,1,0,0,1,0,0,0,0,0,0
2019p747047,1,0,0,1,0,0,0,0,0,0
2019p746793,1,0,0,1,0,0,0,0,0,0
2019p746570,1,0,0,0,0,0,0,0,1,0
2019p746442,1,0,0,1,0,0,0,0,0,0
2019p746396,1,0,0,1,0,0,0,0,0,0
2019p745216,1,0,0,1,0,0,0,0,0,0
2019p744744,1,0,0,1,0,0,0,0,0,0
2019p744655,1,0,0,1,0,0,0,0,0,0
2019p744391,2,0,0,2,0,0,0,0,0,0
2019p744385,2,0,0,2,0,0,0,0,0,0
2019p744237,3,0,0,2,1,0,0,0,0,0
2019p743798,12,0,0,11,1,0,0,0,0,0
2019p743027,1,0,0,0,0,0,0,0,1,0
2019p742370,1,0,0,1,0,0,0,0,0,0
2019p742133,2,0,0,2,0,0,0,0,0,0
2019p741470,3,0,0,1,1,0,0,0,1,0
2019p740053,2,0,0,0,2,0,0,0,0,0
2019p740022,4,0,0,2,1,1,0,0,0,0
2019p739916,8,0,0,3,4,1,0,0,0,0
2019p739634,5,0,0,2,3,0,0,0,0,0
2019p739580,28,0,0,19,9,0,0,0,0,0
2019p739530,494,0,0,149,289,52,2,0,2,0
2019p739525,504,0,0,158,284,56,4,0,2,0
2019p739143,1,0,0,1,0,0,0,0,0,0
2019p738721,4,0,0,3,1,0,0,0,0,0
2019p738683,7,0,0,4,3,0,0,0,0,0
2019p738656,18,0,0,8,6,4,0,0,0,0
2019p736733,2,0,0,1,1,0,0,0,0,0
2019p736141,1,0,0,0,1,0,0,0,0,0
2019p735920,1,0,0,1,0,0,0,0,0,0
2019p735720,2,0,0,2,0,0,0,0,0,0
2019p735543,1,0,0,1,0,0,0,0,0,0
2019p734653,6,0,0,4,2,0,0,0,0,0
2019p734611,16,0,0,10,5,1,0,0,0,0
2019p734598,19,0,0,11,7,1,0,0,0,0
2019p734595,18,0,0,9,8,1,0,0,0,0
2019p734160,2,0,0,2,0,0,0,0,0,0
2019p733990,1,0,0,0,1,0,0,0,0,0
2019p733338,3,0,0,3,0,0,0,0,0,0
2019p733096,1,0,0,1,0,0,0,0,0,0
2019p731141,1,0,0,1,0,0,0,0,0,0
2019p729477,2,0,0,1,1,0,0,0,0,0
2019p729229,2,0,0,1,1,0,0,0,0,0
2019p728736,1,0,0,0,1,0,0,0,0,0
2019p728643,2,0,0,1,1,0,0,0,0,0
2019p728511,3,0,0,1,1,1,0,0,0,0
2019p727806,2,0,0,1,0,0,0,0,1,0
2019p725677,1,0,0,0,1,0,0,0,0,0
2019p725621,1,0,0,1,0,0,0,0,0,0
2019p725526,1,0,0,0,1,0,0,0,0,0
2019p724124,2,0,0,0,1,0,0,1,0,0
2019p723558,1,0,0,0,1,0,0,0,0,0
2019p722916,27,0,0,18,9,0,0,0,0,0
2019p722429,1,0,0,0,1,0,0,0,0,0
2019p722354,1,0,0,1,0,0,0,0,0,0
2019p720730,1,0,0,1,0,0,0,0,0,0
2019p718804,1,0,0,1,0,0,0,0,0,0
2019p717537,2,0,0,1,1,0,0,0,0,0
2019p717531,2,0,0,1,1,0,0,0,0,0
2019p717528,1,0,0,1,0,0,0,0,0,0
2019p717071,2,0,0,2,0,0,0,0,0,0
2019p717069,2,0,0,2,0,0,0,0,0,0
2019p716381,3,0,0,2,1,0,0,0,0,0
2019p715908,4,0,0,3,1,0,0,0,0,0
2019p715828,5,0,0,3,1,1,0,0,0,0
2019p715817,5,0,0,2,1,2,0,0,0,0
2019p715688,12,0,0,6,5,1,0,0,0,0
2019p715674,12,0,0,5,5,2,0,0,0,0
2019p715106,3,0,0,2,1,0,0,0,0,0
