publicid,longitude,latitude,total_reports,mmi
2019p811689,177.050170898438,-37.9714965820312,1,4
2019p811674,176.984252929688,-37.9550170898438,14,4
2019p811674,176.885375976562,-37.9550170898438,1,3
2019p811674,176.907348632812,-39.4821166992188,1,3
2019p811674,176.852416992188,-37.9330444335938,1,3
2019p811674,176.929321289062,-37.9714965820312,1,3
2019p811674,176.995239257812,-37.9550170898438,5,4
2019p811674,176.863403320312,-37.9275512695312,1,4
2019p811674,177.050170898438,-37.9660034179688,1,3
2019p811674,176.863403320312,-37.9165649414062,1,4
2019p811674,176.830444335938,-37.9824829101562,1,3
2019p811674,177.039184570312,-37.9660034179688,3,4
2019p811674,174.786987304688,-41.2454223632812,1,3
2019p811674,176.841430664062,-37.9385375976562,1,6
2019p811674,176.995239257812,-37.9605102539062,6,4
2019p811674,176.907348632812,-37.9989624023438,1,3
2019p811674,177.094116210938,-37.9824829101562,1,3
2019p811674,176.995239257812,-37.9660034179688,2,4
2019p811674,176.940307617188,-37.9330444335938,2,3
2019p811674,176.918334960938,-37.9714965820312,1,3
2019p811674,177.017211914062,-37.9550170898438,4,5
2019p811674,177.072143554688,-38.0099487304688,1,3
2019p811674,177.006225585938,-37.9495239257812,3,4
2019p811674,177.050170898438,-37.9714965820312,1,4
2019p811674,176.852416992188,-38.0209350585938,1,3
2019p811674,176.973266601562,-37.9660034179688,3,4
2019p811674,176.962280273438,-37.9660034179688,4,5
2019p811674,177.006225585938,-37.9660034179688,6,3
2019p811674,177.006225585938,-37.9605102539062,7,4
2019p811674,176.973266601562,-37.9714965820312,3,3
2019p811674,176.962280273438,-37.9605102539062,7,4
2019p811674,168.656616210938,-45.0302124023438,2,7
2019p811674,176.907348632812,-38.0099487304688,1,3
2019p811674,177.006225585938,-37.9550170898438,2,4
2019p811674,176.819458007812,-37.9440307617188,1,4
2019p811674,177.028198242188,-37.9605102539062,4,5
2019p811674,176.995239257812,-38.0538940429688,1,4
2019p811674,176.852416992188,-37.9110717773438,1,4
2019p811674,176.863403320312,-37.9220581054688,1,4
2019p811674,176.929321289062,-37.9385375976562,2,3
2019p811674,176.830444335938,-37.9769897460938,1,4
2019p811674,176.874389648438,-37.9110717773438,3,4
2019p811674,175.457153320312,-37.9769897460938,1,3
2019p811674,176.995239257812,-37.9495239257812,2,3
2019p811674,176.116333007812,-37.6968383789062,1,3
2019p811674,176.742553710938,-38.0264282226562,1,4
2019p811674,176.984252929688,-37.9605102539062,13,4
2019p811674,176.984252929688,-37.9714965820312,2,4
2019p811674,176.819458007812,-37.9824829101562,1,4
2019p811674,177.083129882812,-37.9769897460938,2,3
2019p811674,176.973266601562,-37.9605102539062,14,4
